item,itemLabel,itemDescription
http://www.wikidata.org/entity/Q30185,mayor,head of municipal government such as a town or city
http://www.wikidata.org/entity/Q138858,entertainer,"person using acting, singing, etc. to entertain an audience"
http://www.wikidata.org/entity/Q254508,outlaw,person declared as outside the protection of the law
http://www.wikidata.org/entity/Q42759,mujahid,"Arabic term for people engaged in jihad (""struggle"")"
http://www.wikidata.org/entity/Q49640,cabin boy,young low ranking male employee who waits on the officers and passengers of a ship
http://www.wikidata.org/entity/Q118865,clarinetist,musician who plays the clarinet
http://www.wikidata.org/entity/Q33999,actor,"person who acts in a dramatic or comic production and works in film, television, theatre, or radio"
http://www.wikidata.org/entity/Q217105,political prisoner,someone imprisoned because they have opposed or criticized the government responsible for their imprisonment
http://www.wikidata.org/entity/Q34168,trapping,use of a device to remotely catch an animal
http://www.wikidata.org/entity/Q48942,schoolchild,person studying in a school
http://www.wikidata.org/entity/Q273283,beggar,"person who begs on the street, usually for food or money"
http://www.wikidata.org/entity/Q61551,Indiano,type of Spanish emigrant to America
http://www.wikidata.org/entity/Q32554,cracker,someone who cracks digital security
http://www.wikidata.org/entity/Q55187,hairdresser,person whose occupation is to cut or style hair
http://www.wikidata.org/entity/Q42973,architect,"person trained to plan and design buildings, and oversee their construction"
http://www.wikidata.org/entity/Q37226,teacher,"person who helps others to acquire knowledge, competences or values"
http://www.wikidata.org/entity/Q46961,gangster,criminal who is a member of a gang
http://www.wikidata.org/entity/Q255274,white-collar worker,social class; person who performs intellectual labor
http://www.wikidata.org/entity/Q43845,businessperson,person involved in activities for the purpose of generating revenue
http://www.wikidata.org/entity/Q131512,farmer,"person engaged in agriculture, raising living organisms for food or raw materials"
http://www.wikidata.org/entity/Q19643,queen regnant,female monarch who rules a country in her own right
http://www.wikidata.org/entity/Q1210069,general manager,oversees a firm's day-to-day business operations
http://www.wikidata.org/entity/Q1229025,typographer,"typography worker; for the designer of fonts and type, see Q354034"
http://www.wikidata.org/entity/Q1176499,Q1176499,
http://www.wikidata.org/entity/Q1345663,Q1345663,
http://www.wikidata.org/entity/Q1443572,Q1443572,
http://www.wikidata.org/entity/Q1454636,Q1454636,
http://www.wikidata.org/entity/Q1417439,shop assistant,
http://www.wikidata.org/entity/Q1368409,breeder,profession
http://www.wikidata.org/entity/Q1473687,shield-maiden,woman who had chosen to fight as a warrior in Scandinavian folklore and mythology
http://www.wikidata.org/entity/Q1344569,prankster,someone who performs jokes and tricks
http://www.wikidata.org/entity/Q1391360,waste collector,person employed to collect and remove waste
http://www.wikidata.org/entity/Q1430623,fluffer,one who keeps a pornographic actor's penis erect on-set
http://www.wikidata.org/entity/Q1463475,mintmaster,director of a mint
http://www.wikidata.org/entity/Q1191511,pastry chef,chef skilled in the preparation of pastries
http://www.wikidata.org/entity/Q1415358,turncoat,person who shifts allegiance
